date,mean,median
2020-08-26,0.00012970969826450556,0.0
2020-09-02,0.0002594295699261449,0.0
2020-09-09,0.0002763374475388167,0.0
2020-09-16,0.0005258542666976506,0.00027409776153494746
2020-09-23,0.0008395738907451948,0.000556689552792726
2020-09-30,0.0013826356632716196,0.0009493295360151893
2020-10-07,0.0015570216011237918,0.0010942629357511334
2020-10-14,0.0021041628020638985,0.0015574457889061938
2020-10-21,0.0022212397495231274,0.0017014694508894045
2020-10-28,0.002427795574778452,0.001916140667267809
