date,mean,median
2020-08-26,0.00023763316446115407,0.0
2020-09-02,0.00044604005201879826,0.00031707383844324633
2020-09-09,0.0005600682544203026,0.0003422011307990775
2020-09-16,0.0014086166222214054,0.0007087320855309453
2020-09-23,0.004715388981572022,0.001598927447894722
2020-09-30,0.007480491951566602,0.003458281473460947
2020-10-07,0.005320632893638656,0.0039279555067391
2020-10-14,0.004194180195972411,0.003836689337869555
2020-10-21,0.0032596854444318798,0.0028156449303152983
2020-10-28,0.002768799093842354,0.002508282521247401
