date,mean,median
2020-08-26,0.00013522014478757543,0.0
2020-09-02,0.00026763460509481696,0.0
2020-09-09,0.00028858106919276187,0.0
2020-09-16,0.0005500599582694765,0.0003015378429992964
2020-09-23,0.0009057372368770275,0.0005741187277528993
2020-09-30,0.0014916712980562678,0.000975609756097561
2020-10-07,0.0016359355670042535,0.0011306887779138793
2020-10-14,0.002155930262817775,0.0016001600160016002
2020-10-21,0.0022616761382125176,0.001754180797567536
2020-10-28,0.0024502876872952634,0.001954397394136808
