,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Total Regions
0170 The University of Aberdeen Estimated Incoming Inf,0.022000000000000002,0.04649999999999999,0.023000000000000003,0.0085,0.018,0.026000000000000002,0.022000000000000002,0.0175,0.018000000000000002,0.2015
0095 Abertay University Estimated Incoming Inf,0.003,0.006,0.002,0.001,0.0045,0.003,0.001,0.002,0.003,0.0255
0177 Aberystwyth University Estimated Incoming Inf,0.008,0.114,0.028999999999999998,0.024,0.348,0.054000000000000006,0.02,0.05,0.07400000000000001,0.7210000000000001
0213 AECC University College Estimated Incoming Inf,0.0,0.0015,0.002,0.001,0.006,0.005,0.0015,0.0085,0.021,0.0465
0047 Anglia Ruskin University Estimated Incoming Inf,0.021,0.066,0.047,0.081,0.075,2.044,0.6409999999999999,0.1145,0.045,3.1345
0108 Aston University Estimated Incoming Inf,0.013000000000000001,0.1275,0.040999999999999995,0.0925,1.6515,0.111,0.14400000000000002,0.07150000000000001,0.061000000000000006,2.3129999999999997
0178 Bangor University Estimated Incoming Inf,0.014000000000000002,0.4125,0.059000000000000004,0.028000000000000004,0.195,0.066,0.0265,0.0495,0.057,0.9075000000000001
0048 Bath Spa University Estimated Incoming Inf,0.006,0.042,0.016,0.019000000000000003,0.1275,0.08,0.038000000000000006,0.128,0.72,1.1765
0109 The University of Bath Estimated Incoming Inf,0.022000000000000002,0.141,0.048,0.0375,0.1875,0.205,0.1465,0.2875,0.393,1.468
0026 University of Bedfordshire Estimated Incoming Inf,0.003,0.0315,0.013000000000000001,0.0775,0.3285,0.8910000000000001,0.2275,0.137,0.017,1.726
0184 Queen's University Belfast Estimated Incoming Inf,0.015,0.066,0.015,0.009000000000000001,0.03,0.023000000000000003,0.027000000000000003,0.026000000000000002,0.028000000000000004,0.23900000000000002
0127 Birkbeck College Estimated Incoming Inf,0.004,0.015,0.011000000000000001,0.0055000000000000005,0.026999999999999996,0.125,0.8015000000000001,0.08,0.022000000000000002,1.0910000000000002
0052 Birmingham City University Estimated Incoming Inf,0.015,0.16949999999999998,0.08700000000000001,0.1675,4.632,0.14800000000000002,0.09700000000000002,0.106,0.16,5.582
0110 The University of Birmingham Estimated Incoming Inf,0.046000000000000006,0.46199999999999997,0.205,0.1935,2.2485,0.41600000000000004,0.276,0.36550000000000005,0.395,4.6075
0200 University College Birmingham Estimated Incoming Inf,0.002,0.0225,0.014000000000000002,0.0235,0.6764999999999999,0.019000000000000003,0.017,0.011500000000000002,0.018000000000000002,0.8039999999999999
