,Unnamed: 0,Total Regions,Total Regions from lower,Total Regions from upper,North East,North East from lower,North East from upper,North West,North West from lower,North West from upper,Yorkshire and The Humber,Yorkshire and The Humber from lower,Yorkshire and The Humber from upper,East Midlands,East Midlands from lower,East Midlands from upper,West Midlands,West Midlands from lower,West Midlands from upper,East of England,East of England from lower,East of England from upper,London,London from lower,London from upper,South East,South East from lower,South East from upper,South West,South West from lower,South West from upper,Wales,Wales from lower,Wales from upper,Scotland,Scotland from lower,Scotland from upper
10,0184 Queen's University Belfast Estimated Incoming Infection,5.948475,1.59264705825,16.75098,0.307125,0.05955882375,1.0701,2.0592,0.66,5.0529600000000015,0.38025,0.092647059,1.0962,0.22815,0.0476470584,0.72036,0.17549999999999996,0.035294118,0.6264,0.201825,0.05073529405,0.64032,1.21095,0.3573529407,3.1006800000000005,0.507,0.1376470576,1.4476799999999999,0.1911,0.04941176519999999,0.63336,0.443625,0.08029411780000001,1.49292,0.24375,0.02205882375,0.87
11,0127 Birkbeck College Estimated Incoming Infection,40.104675,11.679705864800004,104.47655999999999,0.0819,0.015882353000000002,0.28536,0.468,0.15,1.1484,0.27885000000000004,0.0679411766,0.80388,0.13942500000000002,0.0291176468,0.44022,0.15794999999999998,0.0317647062,0.5637599999999999,1.096875,0.27573529375000005,3.48,35.947275,10.608088221150002,92.04426,1.56,0.423529408,4.4544,0.15015,0.0388235298,0.49763999999999997,0.20475,0.0370588236,0.6890400000000001,0.019500000000000003,0.0017647058999999995,0.0696
12,0052 Birmingham City University Estimated Incoming Infection,50.248575,11.4842647503,163.06583999999995,0.307125,0.05955882375,1.0701,5.288399999999998,1.695,12.97692,2.2054500000000004,0.5373529422,6.35796,4.246125,0.8867646979999999,13.4067,27.0972,5.4494118192,96.71616,1.2987,0.32647058780000004,4.12032,4.35045,1.2838235276999999,11.13948,2.0669999999999997,0.5611764656,5.902080000000001,1.092,0.282352944,3.6192,2.149875,0.3891176478,7.234920000000002,0.14625,0.01323529425,0.5219999999999999
13,0110 The University of Birmingham Estimated Incoming Infection,70.04107499999999,17.93382353555,207.43932,0.94185,0.1826470595,3.2816400000000003,14.4144,4.62,35.37072,5.19675,1.2661764729999998,14.9814,4.905225,1.0244117556,15.48774,13.153725,2.6452941440999997,46.94868,3.6504,0.9176470576,11.581439999999999,12.3786,3.6529411716,31.695840000000004,7.12725,1.9349999828,20.35104,2.6958750000000005,0.6970588305,8.9349,5.391749999999999,0.9758823548000001,18.144720000000003,0.18525000000000005,0.01676470605,0.6611999999999999
14,0200 University College Birmingham Estimated Incoming Infection,7.312499999999999,1.6680882418999998,23.721420000000002,0.04095,0.007941176500000001,0.14268,0.7019999999999998,0.225,1.7226,0.3549,0.08647058839999999,1.02312,0.595725,0.12441176359999999,1.88094,3.957525,0.7958823609000001,14.12532,0.16672499999999998,0.04191176465,0.52896,0.7624500000000001,0.22499999969999998,1.95228,0.22425,0.06088235240000001,0.64032,0.12285,0.0317647062,0.40715999999999997,0.375375,0.0679411766,1.26324,0.009750000000000002,0.0008823529499999998,0.0348
15,0007 Bishop Grosseteste University Estimated Incoming Infection,6.728475,1.5233823467500005,20.52852,0.04095,0.007941176500000001,0.14268,0.234,0.075,0.5742,2.05335,0.5002941186,5.91948,3.8025,0.7941176400000001,12.005999999999998,0.05265,0.0105882354,0.18792,0.359775,0.09044117635,1.14144,0.04485,0.0132352941,0.11484,0.0585,0.0158823528,0.16704000000000002,0.013650000000000002,0.003529411799999999,0.045239999999999995,0.06825,0.012352941199999998,0.22968,0.0,0.0,0.0
16,0049 The University of Bolton Estimated Incoming Infection,53.083875,16.6552941186,132.59322,0.143325,0.02779411775,0.4993800000000001,48.9996,15.705,120.23748000000002,2.1294,0.5188235304,6.138719999999998,0.27885000000000004,0.0582352936,0.88044,0.219375,0.0441176475,0.7829999999999999,0.12285,0.0308823529,0.38976,0.33637500000000004,0.09926470574999999,0.8613000000000001,0.14625,0.039705882000000005,0.4176,0.088725,0.0229411767,0.29406000000000004,0.580125,0.1050000002,1.95228,0.039000000000000014,0.003529411799999999,0.1392
17,0197 The Arts University Bournemouth Estimated Incoming Infection,6.512025,1.7276470567,19.0617,0.061425,0.011911764750000001,0.21402,0.4212,0.135,1.03356,0.17745,0.0432352942,0.51156,0.215475,0.0449999996,0.6803400000000001,0.22815,0.0458823534,0.8143199999999999,0.394875,0.09926470575000003,1.2528,1.6146,0.4764705876,4.13424,1.8915,0.5135294072,5.4009599999999995,1.112475,0.28764706170000004,3.68706,0.375375,0.0679411766,1.26324,0.019500000000000003,0.0017647058999999995,0.0696
18,0050 Bournemouth University Estimated Incoming Infection,30.707625,8.2204411677,90.19638,0.12285,0.023823529500000003,0.42804,1.17,0.375,2.8710000000000004,0.4563,0.1111764708,1.3154400000000002,0.519675,0.1085294108,1.6408200000000002,0.6405749999999999,0.1288235307,2.2863599999999997,1.7111249999999998,0.43014705825000005,5.4288,7.4451,2.1970588206,19.06344,10.24725,2.7820587988,29.259840000000004,7.098000000000001,1.835294136,23.5248,1.2285,0.2223529416,4.13424,0.06825,0.006176470649999999,0.2436
19,0111 The University of Bradford Estimated Incoming Infection,40.884675,10.65617648355,114.3702,0.3276,0.06352941200000001,1.14144,9.2196,2.955,22.623479999999997,29.12715,7.096764719399999,83.96892,0.392925,0.08205882279999999,1.24062,0.26325,0.052941177,0.9396,0.184275,0.046323529349999996,0.5846399999999999,0.784875,0.23161764675,2.0097000000000005,0.2145,0.0582352936,0.61248,0.06825,0.017647059,0.2262,0.273,0.0494117648,0.91872,0.02925,0.00264705885,0.1044
20,0051 The University of Brighton Estimated Incoming Infection,44.069025,11.994705836150002,124.4622,0.6552,0.127058824,2.28288,2.1996,0.705,5.397480000000002,1.09005,0.2655882358,3.14244,0.98865,0.2064705864,3.1215599999999997,0.6405749999999999,0.1288235307,2.2863599999999997,2.992275,0.7522058813500001,9.49344,13.925925,4.10955881805,35.65782,18.5835,5.0452940728,53.06304,1.6038750000000002,0.4147058865,5.3157000000000005,1.262625,0.2285294122,4.24908,0.12675,0.01147058835,0.4524
21,0337 The University College of Osteopathy Estimated Incoming Infection,1.4001,0.39661764625,3.767100000000001,0.0,0.0,0.0,0.0468,0.015,0.11484,0.02535,0.006176470599999999,0.07307999999999999,0.02535,0.0052941176,0.08004,0.01755,0.003529411799999999,0.06263999999999999,0.08774999999999998,0.0220588235,0.2784,0.964275,0.28455882315000003,2.4690600000000003,0.18525000000000005,0.0502941172,0.52896,0.013650000000000002,0.003529411799999999,0.045239999999999995,0.034125,0.006176470599999999,0.11484,0.0,0.0,0.0
22,0112 The University of Bristol Estimated Incoming Infection,57.73072499999999,15.198970582799998,166.81727999999995,0.9009,0.174705883,3.13896,9.126,2.925,22.3938,2.86455,0.6979411778,8.25804,1.837875,0.383823526,5.802899999999998,2.01825,0.405882357,7.203599999999999,2.54475,0.6397058815000001,8.073599999999999,16.258125,4.79779411125,41.62950000000001,8.033999999999999,2.1811764512000003,22.940159999999995,6.01965,1.5564706038,19.95084,7.746375,1.4020588261999998,26.068680000000004,0.38025,0.03441176505,1.3572
23,0113 Brunel University London Estimated Incoming Infection,37.59405,10.7880882169,99.64284000000002,0.102375,0.01985294125,0.3567,1.1232,0.36,2.7561600000000004,0.38025,0.092647059,1.0962,0.3549,0.0741176464,1.12056,0.34222499999999995,0.0688235301,1.22148,1.465425,0.36838235244999995,4.649279999999999,29.488875000000004,8.702205870750001,75.5073,3.237,0.8788235216,9.24288,0.36855,0.0952941186,1.22148,0.6825,0.12352941199999998,2.2968,0.04875,0.00441176475,0.174
24,0009 Buckinghamshire New University Estimated Incoming Infection,33.2709,9.32647057015,91.00200000000001,0.2457,0.047647059000000005,0.8560800000000001,4.6332,1.485,11.36916,1.09005,0.2655882358,3.14244,0.8112,0.1694117632,2.56128,1.3688999999999998,0.2752941204,4.88592,1.9305,0.485294117,6.124799999999999,16.0563,4.738235287799999,41.11272,5.99625,1.627941162,17.121599999999994,0.4368000000000001,0.11294117759999997,1.4476799999999999,0.61425,0.1111764708,2.06712,0.08775000000000001,0.00794117655,0.3132
25,0203 The University of Buckingham Estimated Incoming Infection,6.006975,1.6155882310499998,17.039820000000002,0.061425,0.011911764750000001,0.21402,0.468,0.15,1.1484,0.27885000000000004,0.0679411766,0.80388,0.32955,0.0688235288,1.04052,0.22815,0.0458823534,0.8143199999999999,0.6230249999999999,0.15661764685,1.9766400000000002,2.10795,0.6220588227,5.397480000000002,1.5405000000000002,0.4182352904,4.39872,0.15015,0.0388235298,0.49763999999999997,0.170625,0.030882352999999994,0.5742,0.04875,0.00441176475,0.174
26,0114 The University of Cambridge Estimated Incoming Infection,43.86135,11.855735281300001,123.48258,1.330875,0.25808823625,4.6371,8.19,2.625,20.097,3.5997000000000003,0.8770588251999999,10.37736,1.711125,0.35735293799999995,5.4026999999999985,1.1846249999999998,0.2382352965,4.2282,4.54545,1.1426470573,14.421119999999998,14.4417,4.2617647002000005,36.97848000000001,4.953,1.3447058704,14.14272,1.262625,0.3264705915,4.1847,2.0475,0.370588236,6.8904000000000005,0.59475,0.053823529950000004,2.1228
27,0188 The Institute of Cancer Research Estimated Incoming Infection,0.8423999999999999,0.24132352895000006,2.2341599999999997,0.0,0.0,0.0,0.0468,0.015,0.11484,0.0,0.0,0.0,0.012675,0.0026470588,0.04002,0.0,0.0,0.0,0.026325,0.006617647050000001,0.08352000000000001,0.6279,0.18529411739999999,1.60776,0.08775000000000001,0.0238235292,0.25055999999999995,0.006825000000000001,0.0017647058999999995,0.022619999999999998,0.034125,0.006176470599999999,0.11484,0.0,0.0,0.0
28,0012 Canterbury Christ Church University Estimated Incoming Infection,33.48540000000001,9.302647011900001,92.84640000000002,0.102375,0.01985294125,0.3567,0.7487999999999999,0.24,1.83744,0.2535,0.06176470599999999,0.7308,0.2535,0.052941176,0.8004000000000001,0.1404,0.0282352944,0.5011199999999999,1.939275,0.4874999993500001,6.15264,12.1095,3.573529407,31.0068,17.46225,4.7408823108,49.86144,0.197925,0.0511764711,0.65598,0.238875,0.0432352942,0.80388,0.039000000000000014,0.003529411799999999,0.1392
29,0179 Cardiff University Estimated Incoming Infection,103.38802499999998,21.43323532155,334.09392,0.36855,0.0714705885,1.2841200000000002,5.7564,1.845,14.125320000000002,1.49565,0.3644117654,4.311719999999999,1.2675,0.26470588,4.002,2.7553499999999995,0.5541176526,9.834480000000001,1.272375,0.31985294075000004,4.0368,5.808075,1.71397058595,14.87178,5.928000000000001,1.6094117503999998,16.92672,5.835375,1.5088235444999998,19.3401,72.7545,13.1682353192,244.83888,0.14625,0.01323529425,0.5219999999999999
30,0089 Cardiff Metropolitan University Estimated Incoming Infection,48.27419999999999,9.312352959450001,159.97734,0.102375,0.01985294125,0.3567,1.4039999999999997,0.45,3.4452000000000003,0.4056,0.0988235296,1.16928,0.291525,0.06088235240000001,0.92046,0.833625,0.1676470605,2.9754,0.26325,0.0661764705,0.8351999999999999,0.605475,0.17867647035,1.5503400000000005,0.975,0.26470588,2.784,2.03385,0.5258823582000001,6.740760000000001,41.29125,7.473529425999999,138.9564,0.06825,0.006176470649999999,0.2436
31,0053 The University of Central Lancashire Estimated Incoming Infection,160.407975,50.385000002000005,400.58802000000014,0.9213749999999998,0.17867647124999994,3.2103,148.59,47.625,364.61699999999996,4.6137,1.1241176492,13.30056,0.823875,0.172058822,2.6013,0.833625,0.1676470605,2.9754,0.50895,0.1279411763,1.6147199999999995,1.592175,0.46985294055,4.0768200000000006,0.6435000000000001,0.1747058808,1.8374400000000002,0.28665,0.07411764779999999,0.95004,1.399125,0.2532352946,4.70844,0.195,0.017647059,0.696
32,0011 University of Chester Estimated Incoming Infection,86.41815000000003,25.168676479699997,229.71828,0.61425,0.1191176475,2.1402,65.0052,20.835,159.51276,2.56035,0.6238235306000001,7.381080000000001,0.9126,0.1905882336,2.88144,3.044925,0.6123529473,10.86804,0.429975,0.10808823515,1.36416,0.94185,0.2779411761,2.41164,0.5557500000000001,0.1508823516,1.5868799999999998,0.273,0.070588236,0.9048,12.012,2.1741176512,40.42368,0.06825,0.006176470649999999,0.2436
33,0082 The University of Chichester Estimated Incoming Infection,11.2827,3.01411763075,32.504940000000005,0.0819,0.015882353000000002,0.28536,0.5616,0.18,1.3780800000000002,0.2535,0.06176470599999999,0.7308,0.367575,0.07676470519999999,1.1605800000000002,0.201825,0.0405882357,0.72036,0.50895,0.1279411763,1.6147199999999995,1.39035,0.4102941171,3.5600400000000003,7.0005000000000015,1.9005882184,19.98912,0.4777500000000001,0.123529413,1.5834,0.4095,0.0741176472,1.3780800000000002,0.02925,0.00264705885,0.1044
34,"0115 City, University of London Estimated Incoming Infection",47.902725,13.86661762675,125.6715,0.143325,0.02779411775,0.4993800000000001,1.4975999999999998,0.48,3.67488,0.4056,0.0988235296,1.16928,0.367575,0.07676470519999999,1.1605800000000002,0.29834999999999995,0.0600000006,1.0648799999999998,1.80765,0.4544117641000001,5.735039999999999,40.49955,11.9514705723,103.70052,2.05725,0.5585294068,5.87424,0.279825,0.07235294190000001,0.92742,0.4095,0.0741176472,1.3780800000000002,0.1365,0.012352941299999998,0.4872
35,0199 Conservatoire for Dance and Drama Estimated Incoming Infection,3.362775,0.8902941171500001,9.54042,0.143325,0.02779411775,0.4993800000000001,0.6083999999999999,0.195,1.49292,0.4056,0.0988235296,1.16928,0.114075,0.0238235292,0.36018,0.08774999999999998,0.017647059,0.3132,0.1404,0.0352941176,0.44544,1.053975,0.31102941135,2.6987400000000004,0.3315,0.0899999992,0.9465600000000001,0.1365,0.035294118,0.4524,0.273,0.0494117648,0.91872,0.06825,0.006176470649999999,0.2436
36,0201 Courtauld Institute of Art Estimated Incoming Infection,0.99255,0.2814705879,2.68656,0.0,0.0,0.0,0.1404,0.045,0.34452000000000005,0.02535,0.006176470599999999,0.07307999999999999,0.02535,0.0052941176,0.08004,0.01755,0.003529411799999999,0.06263999999999999,0.04387499999999999,0.01102941175,0.1392,0.560625,0.16544117625000002,1.4355000000000002,0.0975,0.026470588,0.2784,0.047775000000000005,0.012352941299999998,0.15834,0.034125,0.006176470599999999,0.11484,0.0,0.0,0.0
37,0056 Coventry University Estimated Incoming Infection,58.678425,14.669558837650001,176.87099999999998,0.389025,0.07544117674999999,1.35546,4.4928,1.44,11.024640000000002,3.82785,0.9326470606,11.03508,5.0193,1.0482352847999998,15.847919999999998,17.734274999999997,3.5664706239,63.29772,2.623725,0.65955882265,8.324160000000001,18.500625,5.45955881625,47.37150000000001,3.63675,0.9873529324,10.384319999999999,0.7917000000000001,0.2047058844,2.62392,1.603875,0.29029411819999995,5.397480000000002,0.0585,0.0052941177,0.2088
38,0002 Cranfield University Estimated Incoming Infection,6.685575,1.76558823445,19.427100000000006,0.12285,0.023823529500000003,0.42804,1.1232,0.36,2.7561600000000004,0.38025,0.092647059,1.0962,0.3549,0.0741176464,1.12056,0.26325,0.052941177,0.9396,0.5791499999999999,0.14558823510000002,1.8374400000000002,1.48005,0.4367647053000001,3.78972,1.053,0.2858823504,3.00672,0.812175,0.2100000021,2.69178,0.4095,0.0741176472,1.3780800000000002,0.10725,0.00970588245,0.3827999999999999
39,0206 University for the Creative Arts Estimated Incoming Infection,10.601175,2.9016176372,29.6496,0.061425,0.011911764750000001,0.21402,0.7019999999999998,0.225,1.7226,0.32955,0.08029411780000001,0.95004,0.2535,0.052941176,0.8004000000000001,0.22815,0.0458823534,0.8143199999999999,0.5966999999999999,0.1499999998,1.8931200000000001,3.9468,1.1647058808,10.10592,3.79275,1.0297058732,10.829759999999998,0.26617500000000005,0.0688235301,0.8821800000000001,0.375375,0.0679411766,1.26324,0.04875,0.00441176475,0.174
40,0038 University of Cumbria Estimated Incoming Infection,42.95654999999999,13.1708823537,109.41468,1.5560999999999998,0.30176470699999997,5.42184,35.61479999999999,11.415,87.39324,1.54635,0.37676470659999994,4.45788,0.32955,0.0688235288,1.04052,0.17549999999999996,0.035294118,0.6264,0.184275,0.046323529349999996,0.5846399999999999,2.4891750000000004,0.7345588225499999,6.373620000000002,0.22425,0.06088235240000001,0.64032,0.129675,0.0335294121,0.42978,0.375375,0.0679411766,1.26324,0.3315,0.0300000003,1.1832
