,Unnamed: 0,Total Regions,Total Regions from lower,Total Regions from upper,North East,North East from lower,North East from upper,North West,North West from lower,North West from upper,Yorkshire and The Humber,Yorkshire and The Humber from lower,Yorkshire and The Humber from upper,East Midlands,East Midlands from lower,East Midlands from upper,West Midlands,West Midlands from lower,West Midlands from upper,East of England,East of England from lower,East of England from upper,London,London from lower,London from upper,South East,South East from lower,South East from upper,South West,South West from lower,South West from upper,Wales,Wales from lower,Wales from upper,Scotland,Scotland from lower,Scotland from upper
0,0170 The University of Aberdeen Estimated Incoming Infection,33.65358142415,16.7776744181,60.932092992650006,1.9155348839,1.3261395345,2.7750697678,2.9759999999999995,2.3877209298,3.6680930233999995,1.3864186042500002,1.0013023251000002,1.9512558139,0.8349767438500001,0.64520930195,1.10065116285,0.5090232558,0.3616744188,0.7233488370000001,0.8997209299,0.6675348836,1.248,2.4066976736,1.7681860459999998,3.339906977,0.93767441775,0.70325581375,1.2893023254999998,0.5023255815000001,0.3013953489,0.8037209303999999,0.3125581396000001,0.125023256,0.5893953488,20.972651194,7.490232559700002,43.443348806
1,0095 Abertay University Estimated Incoming Infection,12.366139551,4.9484651169,24.63404649535,0.26120930235,0.18083720925,0.3784186047,0.384,0.3080930232,0.4733023256,0.1205581395,0.08706976740000001,0.1696744186,0.0982325581,0.0759069767,0.1294883721,0.12725581395,0.0904186047,0.18083720925,0.10381395345000001,0.07702325580000001,0.14400000000000002,0.10939534880000001,0.08037209299999999,0.1518139535,0.1071627906,0.08037209299999999,0.1473488372,0.08372093024999999,0.050232558150000016,0.1339534884,0.0,0.0,0.0,10.970790714000001,3.9181395357,22.725209286
2,0177 Aberystwyth University Estimated Incoming Infection,51.3454883714,30.8930232679,81.04409301789998,0.6965581395999999,0.482232558,1.0091162792,7.296,5.8537674408,8.9927441864,1.7480930227500002,1.2625116273,2.4602790697,2.3575813944,1.8217674408,3.1077209304,9.8411162788,6.9923720968,13.984744182000004,1.8686511621000002,1.3864186044000002,2.592,2.187906976,1.6074418600000002,3.03627907,2.679069765,2.009302325,3.6837209299999993,2.0651162794999998,1.2390697677000002,3.3041860472000004,20.51162791125,8.204651174999999,38.679069765,0.093767442,0.033488372100000004,0.194232558
3,0213 AECC University College Estimated Incoming Infection,1.95683720885,1.3395348836499998,2.86995348845,0.0,0.0,0.0,0.096,0.0770232558,0.1183255814,0.1205581395,0.08706976740000001,0.1696744186,0.0982325581,0.0759069767,0.1294883721,0.1696744186,0.1205581396,0.241116279,0.17302325574999994,0.12837209300000002,0.24,0.1640930232,0.1205581395,0.22772093024999998,0.45544186005000004,0.34158139525000003,0.6262325580999999,0.58604651175,0.35162790705,0.9376744188,0.07813953490000003,0.031255814,0.1473488372,0.015627907,0.005581395350000001,0.032372093
4,0047 Anglia Ruskin University Estimated Incoming Infection,167.88837203414997,123.9728371793,232.52874419320003,1.82846511645,1.26586046475,2.6489302328999997,4.224,3.3890232552,5.206325581600001,2.8331162782500003,2.0461395339000004,3.9873488371,7.956837206099999,6.148465112699999,10.4885581401,2.1209302325,1.5069767449999998,3.0139534875000003,70.73190695059999,52.47851161840001,98.11200000000001,70.1224185808,51.518511613,97.31274419350001,6.13506976185,4.60130232425,8.435720929699999,1.25581395375,0.7534883722500001,2.009302326,0.5079069768500001,0.203162791,0.9577674418000001,0.171906977,0.06139534885,0.35609302299999995
5,0108 Aston University Estimated Incoming Infection,93.86790696165001,68.1097674496,130.9585116115,1.13190697685,0.7836279067499999,1.6398139537,8.16,6.546976742999999,10.057674419,2.47144185975,1.7849302317000002,3.4783255813,9.086511624249999,7.02139534475,11.977674419249999,46.70288371965,33.183627924899994,66.36725579475001,3.84111627765,2.8498604646000008,5.3279999999999985,15.7529302272,11.573581392000001,21.861209304000003,3.83106976395,2.87330232475,5.2677209298999985,1.70232558175,1.02139534905,2.7237209308000003,1.0939534886000002,0.437581396,2.0628837208,0.093767442,0.033488372100000004,0.194232558
6,0178 Bangor University Estimated Incoming Infection,79.38753488415001,49.608558151900006,121.73358139144995,1.2189767443,0.8439069765,1.7659534886,26.4,21.181395345,32.539534884999995,3.55646511525,2.5685581383,5.0053953487000005,2.7505116267999994,2.1253953476,3.6256744188,5.514418604499999,3.918139537,7.8362790675,2.2839069759,1.6945116275999998,3.168,2.8989767431999995,2.1298604644999997,4.02306976775,2.6522790673500003,1.98920930175,3.6468837207,1.59069767475,0.95441860485,2.5451162796,30.396279076100004,12.158511646,57.31869767079999,0.125023256,0.044651162800000005,0.258976744
7,0048 Bath Spa University Estimated Incoming Infection,47.868279065150006,31.262511629950005,72.40074419085,0.5224186047,0.3616744185,0.7568372094,2.688,2.1566511624,3.3131162792,0.964465116,0.6965581392000001,1.3573953488,1.8664186039,1.4422325572999999,2.4602790699,3.6055813952499998,2.5618604665,5.12372092875,2.7683720919999995,2.0539534880000003,3.84,4.1570232543999985,3.0541395340000004,5.768930233,6.8584185984,5.1438139519999995,9.4303255808,20.09302326,12.055813956,32.148837216000004,4.297674419500002,1.71906977,8.104186045999999,0.046883721,0.016744186050000002,0.097116279
8,0109 The University of Bath Estimated Incoming Infection,77.87497672365,54.653023250299995,111.72279069935,1.9155348839,1.3261395345,2.7750697678,9.024,7.240186045200001,11.122604651600001,2.8933953480000003,2.0896744176,4.0721860464,3.68372092875,2.8465116262500003,4.85581395375,5.30232558125,3.7674418625,7.53488371875,7.093953485749999,5.263255813000001,9.84,16.0264185992,11.7745116245,22.24074418775,15.404651148749998,11.55348836875,21.1813953475,10.96744186275,6.58046511765,17.5479069804,5.2353488383,2.0941395380000003,9.872372092400001,0.32818604700000004,0.11720930235,0.6798139529999999
9,0026 University of Bedfordshire Estimated Incoming Infection,83.79572090039998,61.91441859335,115.93227906865,0.26120930235,0.18083720925,0.3784186047,2.016,1.6174883718000002,2.4848372094,0.7836279067499999,0.5659534881,1.1028837209,7.61302325275,5.8827906942500015,10.03534883775,9.28967441835,6.6005581431,13.201116275250001,30.832744174650003,22.875906972600013,42.768,24.887441852,18.2846511575,34.53767442125,7.3406511561,5.505488370499999,10.093395348200001,0.47441860475000003,0.28465116285000003,0.7590697675999999,0.23441860469999998,0.093767442,0.4420465116,0.062511628,0.0223255814,0.129488372
