,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Total Regions
0040 Leeds Trinity University Estimated Incoming Infection,0.5425,1.3065,4.59,0.099,0.049,0.06899999999999999,0.0855,0.026000000000000002,0.014000000000000002,0.0225,0.002,6.805999999999999
0125 The University of Leicester Estimated Incoming Infection,0.434,2.3205,1.16,1.806,1.0045,0.7829999999999999,4.313,0.53,0.16,0.17099999999999999,0.005,12.687
0062 The University of Lincoln Estimated Incoming Infection,0.6665000000000001,1.95,5.09,3.255,0.44800000000000006,1.695,0.9405,0.32,0.07200000000000001,0.099,0.003,14.539000000000001
0023 Liverpool Hope University Estimated Incoming Infection,0.217,11.817,0.36,0.06899999999999999,0.20650000000000002,0.036,0.152,0.03,0.018000000000000002,0.13949999999999999,0.002,13.047
0065 Liverpool John Moores University Estimated Incoming Infection,0.775,53.956500000000005,1.81,0.315,0.9135000000000001,0.18899999999999997,0.532,0.158,0.09200000000000001,1.287,0.007000000000000001,60.035000000000004
0209 The Liverpool Institute for Performing Arts Estimated Incoming Infection,0.04650000000000001,0.8385000000000001,0.12,0.03,0.049,0.021,0.0855,0.022000000000000002,0.01,0.0315,0.003,1.2570000000000001
0126 The University of Liverpool Estimated Incoming Infection,1.3019999999999998,30.5565,3.54,0.645,1.3755000000000002,0.576,2.356,0.61,0.318,0.9,0.017,42.196
0228 Liverpool School of Tropical Medicine Estimated Incoming Infection,0.0155,0.39,0.03,0.006,0.007000000000000001,0.006,0.038,0.01,0.006,0.013499999999999998,0.003,0.525
0334 Grŵp Llandrillo Menai Estimated Incoming Infection,0.0,0.03900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2555,0.0,1.2945
"0024 University of the Arts, London Estimated Incoming Infection",0.341,1.4235,0.62,0.198,0.231,0.561,7.771,0.62,0.29400000000000004,0.11699999999999999,0.023000000000000003,12.1995
0135 London Business School Estimated Incoming Infection,0.0,0.019500000000000003,0.0,0.003,0.007000000000000001,0.009,0.7315,0.012,0.0,0.0,0.001,0.783
0151 University of London (Institutes and activities) Estimated Incoming Infection,0.0,0.019500000000000003,0.0,0.0,0.0035000000000000005,0.012,0.152,0.01,0.002,0.0045,0.001,0.20450000000000002
0202 London Metropolitan University Estimated Incoming Infection,0.1085,0.429,0.17,0.063,0.07700000000000001,0.363,11.941500000000001,0.23199999999999998,0.05,0.0405,0.006,13.480500000000001
0076 London South Bank University Estimated Incoming Infection,0.124,0.4485,0.18,0.09,0.126,0.9359999999999999,21.033,0.7440000000000001,0.106,0.058499999999999996,0.003,23.849
0137 London School of Economics and Political Science Estimated Incoming Infection,0.155,0.7605,0.23,0.06899999999999999,0.11900000000000001,0.21,3.5814999999999997,0.23,0.086,0.058499999999999996,0.01,5.509499999999999
0138 London School of Hygiene and Tropical Medicine Estimated Incoming Infection,0.0,0.0585,0.02,0.009,0.0105,0.03,0.6459999999999999,0.028000000000000004,0.008,0.0045,0.002,0.8164999999999999
0152 Loughborough University Estimated Incoming Infection,0.5425,3.0225,1.25,1.131,0.812,1.0859999999999999,3.838,0.9440000000000001,0.318,0.315,0.019000000000000003,13.278
0066 The Manchester Metropolitan University Estimated Incoming Infection,2.1390000000000002,68.6205,5.89,0.885,1.295,0.423,1.311,0.364,0.268,0.6614999999999999,0.024,81.881
0204 The University of Manchester Estimated Incoming Infection,1.86,35.0415,4.4,0.735,1.1760000000000002,0.723,5.358,0.9,0.53,0.7245,0.051000000000000004,51.498999999999995
0067 Middlesex University Estimated Incoming Infection,0.1705,0.7215,0.36,0.141,0.175,0.897,20.634,0.43800000000000006,0.098,0.0675,0.012,23.714499999999997
0154 Newcastle University Estimated Incoming Infection,16.213,10.413,6.49,0.852,0.42700000000000005,0.7709999999999999,2.5745,0.6559999999999999,0.266,0.18899999999999997,0.08800000000000001,38.9395
0028 Newman University Estimated Incoming Infection,0.0155,0.07800000000000001,0.05,0.036,1.778,0.015,0.076,0.01,0.01,0.009,0.001,2.0784999999999996
0027 The University of Northampton Estimated Incoming Infection,0.124,0.4485,0.25,2.445,0.56,0.711,3.5435000000000003,0.5539999999999999,0.06,0.072,0.003,8.770999999999999
0335 Grŵp NPTC Group Estimated Incoming Infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.144
0069 University of Northumbria at Newcastle Estimated Incoming Infection,41.385,5.928000000000001,5.82,0.357,0.12250000000000001,0.204,0.95,0.126,0.052000000000000005,0.05399999999999999,0.038000000000000006,55.036500000000004
0190 Norwich University of the Arts Estimated Incoming Infection,0.04650000000000001,0.15600000000000003,0.09,0.099,0.0245,0.813,0.32299999999999995,0.09,0.016,0.009,0.001,1.6679999999999997
0155 University of Nottingham Estimated Incoming Infection,0.9765,6.279,3.09,3.528,1.7605000000000002,1.8719999999999999,7.904,1.344,0.42200000000000004,0.36449999999999994,0.015,27.5555
0071 The Nottingham Trent University Estimated Incoming Infection,0.868,4.8165000000000004,3.08,6.249,2.4605,2.247,4.2085,0.916,0.258,0.225,0.01,25.338500000000003
0001 The Open University Estimated Incoming Infection,0.0,0.019500000000000003,0.01,0.006,0.0035000000000000005,0.018,0.1045,0.068,0.002,0.0,0.001,0.2325
0072 Oxford Brookes University Estimated Incoming Infection,0.18600000000000003,0.897,0.37,0.33,0.7385,0.57,2.299,2.456,0.8740000000000001,0.27899999999999997,0.017,9.016499999999999
0156 The University of Oxford Estimated Incoming Infection,0.8525,3.6855,1.2,0.366,0.686,0.8370000000000001,7.4195,1.8880000000000001,0.596,0.33299999999999996,0.077,17.940500000000004
0230 Plymouth College of Art Estimated Incoming Infection,0.0155,0.07800000000000001,0.03,0.018,0.0315,0.03,0.076,0.054000000000000006,0.37,0.045,0.0,0.7480000000000001
0073 University of Plymouth Estimated Incoming Infection,0.20149999999999998,1.131,0.36,0.204,0.4690000000000001,0.405,1.5105000000000002,0.784,4.578,0.5355,0.008,10.186500000000002
0074 The University of Portsmouth Estimated Incoming Infection,0.1705,0.585,0.23,0.207,0.3395,0.9570000000000001,6.574,3.958,0.6559999999999999,0.243,0.006,13.926
"0100 Queen Margaret University, Edinburgh Estimated Incoming Infection",0.1705,0.40950000000000003,0.08,0.021,0.021,0.024,0.152,0.026000000000000002,0.022000000000000002,0.0315,0.682,1.6395
0139 Queen Mary University of London Estimated Incoming Infection,0.31,1.4040000000000001,0.45,0.165,0.266,0.708,15.7415,0.562,0.182,0.13949999999999999,0.011000000000000001,19.939000000000004
0030 Ravensbourne University London Estimated Incoming Infection,0.031,0.1365,0.04,0.026999999999999996,0.028000000000000004,0.18,2.4034999999999997,0.138,0.028000000000000004,0.0045,0.002,3.0184999999999995
0157 The University of Reading Estimated Incoming Infection,0.1705,0.9165000000000001,0.37,0.26099999999999995,0.4655,0.792,4.2655,1.944,0.6579999999999999,0.45449999999999996,0.011000000000000001,10.308499999999999
0104 The Robert Gordon University Estimated Incoming Infection,0.031,0.0585,0.03,0.006,0.007000000000000001,0.012,0.0665,0.006,0.004,0.0045,1.4280000000000002,1.6535000000000002
0031 Roehampton University Estimated Incoming Infection,0.062,0.936,0.16,0.174,0.742,0.417,13.946,0.54,0.086,0.026999999999999996,0.003,17.093
0032 Rose Bruford College of Theatre and Performance Estimated Incoming Infection,0.031,0.17550000000000002,0.07,0.018,0.0245,0.036,0.2375,0.046000000000000006,0.02,0.018,0.002,0.6785000000000001
0033 Royal Academy of Music Estimated Incoming Infection,0.0155,0.15600000000000003,0.04,0.021,0.0105,0.026999999999999996,0.21850000000000003,0.034,0.02,0.026999999999999996,0.007000000000000001,0.5765000000000001
0195 Royal Agricultural University Estimated Incoming Infection,0.04650000000000001,0.1365,0.09,0.051,0.063,0.078,0.114,0.07600000000000001,0.11800000000000001,0.026999999999999996,0.004,0.8040000000000002
0003 Royal College of Art Estimated Incoming Infection,0.0155,0.07800000000000001,0.03,0.009,0.0175,0.03,0.779,0.034,0.016,0.013499999999999998,0.004,1.0265000000000002
0034 Royal College of Music Estimated Incoming Infection,0.0155,0.1365,0.03,0.012,0.014000000000000002,0.026999999999999996,0.247,0.026000000000000002,0.014000000000000002,0.018,0.004,0.544
0101 Royal Conservatoire of Scotland Estimated Incoming Infection,0.031,0.117,0.05,0.009,0.007000000000000001,0.012,0.057,0.012,0.006,0.013499999999999998,0.128,0.44250000000000006
0010 The Royal Central School of Speech and Drama Estimated Incoming Infection,0.031,0.1365,0.06,0.021,0.0245,0.05399999999999999,0.43700000000000006,0.057999999999999996,0.026000000000000002,0.013499999999999998,0.005,0.8665
0141 Royal Holloway and Bedford New College Estimated Incoming Infection,0.124,0.546,0.24,0.096,0.161,0.495,5.690499999999999,1.032,0.23800000000000002,0.10799999999999998,0.004,8.734499999999999
0035 Royal Northern College of Music Estimated Incoming Infection,0.04650000000000001,0.6435000000000001,0.11,0.026999999999999996,0.028000000000000004,0.024,0.095,0.026000000000000002,0.012,0.0405,0.008,1.0605
