,Unnamed: 0,Total Regions,Total Regions from lower,Total Regions from upper,North East,North East from lower,North East from upper,North West,North West from lower,North West from upper,Yorkshire and The Humber,Yorkshire and The Humber from lower,Yorkshire and The Humber from upper,East Midlands,East Midlands from lower,East Midlands from upper,West Midlands,West Midlands from lower,West Midlands from upper,East of England,East of England from lower,East of England from upper,London,London from lower,London from upper,South East,South East from lower,South East from upper,South West,South West from lower,South West from upper,Wales,Wales from lower,Wales from upper,Scotland,Scotland from lower,Scotland from upper
13,0110 The University of Birmingham Estimated Incoming Infection,35.91849999999999,20.325,59.608999999999995,0.483,0.207,0.943,7.391999999999999,5.2360000000000015,10.164,2.665,1.435,4.305,2.5155000000000003,1.161,4.4505,6.7455,2.998,13.491,1.872,1.04,3.3280000000000003,6.348000000000001,4.14,9.107999999999999,3.655,2.193,5.848000000000001,1.3825,0.79,2.5675,2.765,1.1059999999999999,5.214,0.095,0.019000000000000003,0.19
14,0200 University College Birmingham Estimated Incoming Infection,3.75,1.8905,6.8165,0.021,0.009000000000000001,0.041,0.36,0.2550000000000001,0.495,0.182,0.098,0.294,0.3055,0.141,0.5405000000000001,2.0295,0.902,4.059,0.08549999999999999,0.0475,0.15200000000000002,0.391,0.255,0.561,0.115,0.06899999999999999,0.184,0.063,0.036000000000000004,0.11699999999999999,0.1925,0.07700000000000001,0.363,0.005,0.001,0.01
15,0007 Bishop Grosseteste University Estimated Incoming Infection,3.4505000000000003,1.7265,5.899,0.021,0.009000000000000001,0.041,0.12,0.085,0.165,1.053,0.5670000000000001,1.7009999999999998,1.95,0.9,3.45,0.027,0.012,0.053999999999999986,0.1845,0.1025,0.328,0.023000000000000003,0.015,0.033,0.03,0.018000000000000002,0.048,0.007000000000000001,0.004,0.013,0.035,0.014000000000000002,0.066,0.0,0.0,0.0
16,0049 The University of Bolton Estimated Incoming Infection,27.222499999999997,18.875999999999998,38.1015,0.0735,0.0315,0.1435,25.128,17.799,34.551,1.092,0.5880000000000001,1.764,0.14300000000000002,0.066,0.253,0.1125,0.05,0.225,0.063,0.035,0.11200000000000003,0.1725,0.1125,0.2475,0.075,0.045,0.12,0.045500000000000006,0.026,0.0845,0.2975,0.119,0.561,0.02,0.004,0.04
17,0197 The Arts University Bournemouth Estimated Incoming Infection,3.3394999999999992,1.9580000000000002,5.4775,0.0315,0.013499999999999998,0.061499999999999985,0.216,0.153,0.29700000000000004,0.091,0.049,0.147,0.1105,0.051,0.1955,0.117,0.052000000000000005,0.234,0.2025,0.1125,0.36,0.828,0.54,1.1880000000000002,0.97,0.5820000000000001,1.5520000000000005,0.5705,0.326,1.0595,0.1925,0.07700000000000001,0.363,0.01,0.002,0.02
18,0050 Bournemouth University Estimated Incoming Infection,15.7475,9.3165,25.9185,0.063,0.027,0.12299999999999997,0.6,0.425,0.825,0.23399999999999999,0.126,0.378,0.2665,0.12299999999999997,0.4715,0.3285,0.146,0.657,0.8775,0.4875,1.56,3.818,2.49,5.4780000000000015,5.255,3.153,8.408000000000001,3.640000000000001,2.08,6.76,0.6299999999999999,0.252,1.1880000000000002,0.035,0.007000000000000001,0.07
19,0111 The University of Bradford Estimated Incoming Infection,20.9665,12.077,32.865,0.168,0.07200000000000001,0.328,4.728,3.3489999999999998,6.501,14.937,8.043000000000001,24.129,0.2015,0.093,0.3565,0.135,0.06,0.27,0.0945,0.0525,0.168,0.4025,0.2625,0.5775,0.11,0.066,0.17600000000000002,0.035,0.02,0.065,0.14,0.056000000000000015,0.264,0.015,0.003,0.03
20,0051 The University of Brighton Estimated Incoming Infection,22.599500000000006,13.594,35.76500000000001,0.336,0.14400000000000002,0.6559999999999999,1.128,0.799,1.551,0.5589999999999999,0.301,0.903,0.507,0.234,0.897,0.3285,0.146,0.657,1.5345,0.8525,2.728,7.1415,4.6575,10.2465,9.53,5.718,15.248,0.8225000000000001,0.47,1.5275,0.6475,0.259,1.2209999999999999,0.065,0.013,0.13
21,0337 The University College of Osteopathy Estimated Incoming Infection,0.7180000000000001,0.4495,1.0825,0.0,0.0,0.0,0.024,0.017,0.033,0.013,0.007000000000000001,0.021,0.013,0.006,0.023000000000000003,0.009000000000000001,0.004,0.018000000000000002,0.045,0.025,0.08,0.4945000000000001,0.3225,0.7095,0.095,0.057,0.15200000000000002,0.007000000000000001,0.004,0.013,0.0175,0.007000000000000001,0.033,0.0,0.0,0.0
22,0112 The University of Bristol Estimated Incoming Infection,29.6055,17.2255,47.93600000000001,0.462,0.198,0.902,4.68,3.315,6.435,1.469,0.7909999999999999,2.373,0.9425,0.435,1.6675,1.035,0.46,2.07,1.305,0.725,2.32,8.3375,5.4375,11.9625,4.12,2.472,6.5920000000000005,3.0870000000000006,1.764,5.7330000000000005,3.9725,1.589,7.491,0.195,0.039,0.39
