,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Total Regions
0010 The Royal Central School of Speech and Drama Est. Infectious Incoming,0.005,0.0245,0.015,0.014000000000000002,0.021,0.05399999999999999,0.115,0.057999999999999996,0.0325,0.33899999999999997
0141 Royal Holloway and Bedford New College Est. Infectious Incoming,0.02,0.098,0.06,0.064,0.13799999999999998,0.495,1.4975,1.032,0.2975,3.702
0035 Royal Northern College of Music Est. Infectious Incoming,0.0075,0.1155,0.0275,0.018000000000000002,0.024,0.024,0.025,0.026000000000000002,0.015,0.2825
0143 The Royal Veterinary College Est. Infectious Incoming,0.015,0.07,0.0475,0.046000000000000006,0.048,0.195,0.16,0.16399999999999998,0.0925,0.838
0173 The University of St Andrews Est. Infectious Incoming,0.0625,0.22400000000000003,0.105,0.07,0.084,0.18,0.24,0.22,0.0875,1.273
"0145 St George's, University of London Est. Infectious Incoming",0.0125,0.059500000000000004,0.025,0.028000000000000004,0.063,0.162,1.275,0.366,0.065,2.056
0194 St Mary's University College Est. Infectious Incoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"0039 St Mary's University, Twickenham Est. Infectious Incoming",0.02,0.045500000000000006,0.0275,0.024,0.039,0.243,1.275,0.494,0.0875,2.2554999999999996
0158 The University of Salford Est. Infectious Incoming,0.1525,9.8,0.6025,0.23199999999999998,0.39,0.141,0.125,0.13,0.0925,11.6655
0146 SOAS University of London Est. Infectious Incoming,0.0125,0.045500000000000006,0.025,0.022000000000000002,0.045,0.12299999999999998,0.87,0.138,0.0625,1.3435
0175 SRUC Est. Infectious Incoming,0.0025,0.0035000000000000005,0.0,0.0,0.0,0.003,0.0025,0.0,0.0025,0.014
0075 Sheffield Hallam University Est. Infectious Incoming,0.28,1.9355000000000002,6.515,2.404,0.8220000000000001,0.648,0.2375,0.264,0.1825,13.2885
0159 The University of Sheffield Est. Infectious Incoming,0.295,1.8760000000000003,2.5,1.058,0.873,1.041,0.7275,0.7240000000000001,0.4225,9.517
0037 Solent University Est. Infectious Incoming,0.015,0.07,0.04,0.07400000000000001,0.135,0.37799999999999995,0.3925,1.73,0.7225,3.557
0160 The University of Southampton Est. Infectious Incoming,0.0375,0.17850000000000002,0.0875,0.14,0.36,0.825,1.41,2.8040000000000003,1.1825,7.025000000000001
0077 Staffordshire University Est. Infectious Incoming,0.035,1.078,0.1425,0.272,4.188,0.21,0.1475,0.17800000000000002,0.13,6.380999999999999
0174 The University of Stirling Est. Infectious Incoming,0.075,0.10850000000000001,0.045,0.026000000000000002,0.021,0.048,0.055,0.052000000000000005,0.035,0.4655
0014 University of St Mark and St John Est. Infectious Incoming,0.0025,0.028000000000000004,0.0175,0.016,0.033,0.039,0.0675,0.078,1.015,1.2965
0193 Stranmillis University College Est. Infectious Incoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0025
0169 The University of Strathclyde Est. Infectious Incoming,0.03,0.1015,0.0375,0.018000000000000002,0.033,0.057,0.055,0.048,0.03,0.41000000000000003
0210 University of Suffolk Est. Infectious Incoming,0.005,0.0175,0.0125,0.024,0.015,2.637,0.9025,0.068,0.0175,3.6990000000000003
0078 The University of Sunderland Est. Infectious Incoming,4.05,0.1015,0.145,0.032,0.03,0.165,1.225,0.07,0.0175,5.835999999999999
0161 The University of Surrey Est. Infectious Incoming,0.0325,0.14,0.065,0.09,0.153,0.546,1.5,2.064,0.3675,4.957999999999999
0162 The University of Sussex Est. Infectious Incoming,0.03,0.10850000000000001,0.0625,0.084,0.153,0.747,1.71,2.34,0.4725,5.7075000000000005
0180 Swansea University Est. Infectious Incoming,0.015,0.2625,0.0775,0.132,0.5489999999999999,0.33,0.4875,0.778,1.0375,3.669
