date,high_concentration_student_mean,high_concentration_student_median,near_2km_high_conc_student_mean,near_2km_high_conc_student_median,lower_concentration_student_mean,lower_concentration_student_median,not_near_high_conc_student_mean,not_near_high_conc_student_median
2020-03-19,0.0,0.0,0.0,0.0,3.558212354113294e-05,0.0,5.33731853116994e-05,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,0.0,0.0,0.0,0.0,0.00020803494313666648,0.0,0.0003120524147049997,0.00031948210573589503
2020-04-09,0.0001934651762682717,0.0,0.00018565177032223843,0.0,0.00022775248780183908,0.0,0.00018691892310089333,0.0001601195559350982
2020-04-16,0.0,0.0,0.0003465747313221992,0.00039782522211908233,0.0002753982487451316,0.00031872509960159364,0.0001242850970158648,0.0
2020-04-23,0.0,0.0,0.0003080270290349477,0.0004464285714285714,0.00024314949230329105,0.0,0.00018243980949724208,0.0
2020-04-30,0.00018161184020373637,0.0001289767841788478,0.0,0.0,9.594841976565424e-05,0.0,0.00014392262964848135,0.0
2020-05-07,0.0,0.0,0.0,0.0,8.988158373894367e-05,0.0,0.0001348223756084155,0.0
2020-05-14,7.824726134585289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,0.0,0.0,0.0,0.0,4.406256884776383e-05,0.0,6.609385327164574e-05,0.0
2020-05-28,6.44883920894239e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-10,0.00017196904557179707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-24,0.0012358873472675805,0.00036515388628064686,0.0001488095238095238,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.005961541109438719,0.0033327671497524504,0.0003063467112255742,0.0003666137113528046,0.00016201272097473194,0.0,0.0001819167962366305,0.0
2020-10-08,0.008795163804878051,0.006510882462705246,0.002094342993830319,0.0018100639555930977,0.0013862172646291312,0.0012809564474807857,0.001398897049916268,0.0012353229031852044
2020-10-15,0.004248010169100778,0.003208677143134316,0.0017903773301745952,0.0018565177032223842,0.001462754410956791,0.001710863986313088,0.0014788970711397352,0.0014906990893707073
2020-10-22,0.0025589056967634137,0.002257320425728625,0.0012743913402835198,0.0011397634990739421,0.0011740626535634577,0.0010358565737051792,0.0011618792402720373,0.0012117796959046818
2020-10-29,0.002052368457243136,0.002059026552013992,0.0007670470590599498,0.000744047619047619,0.0009386220152061896,0.0010575016523463319,0.0010352055141515054,0.0010735615044624603
2020-11-05,0.001755135044190666,0.0014921708564231686,0.0013970294047301278,0.001282233936458185,0.0010541151173047425,0.0010608672589842195,0.001101917320155197,0.0010940116694328446
