date,high_concentration_student_mean,high_concentration_student_median,near_2km_high_conc_student_mean,near_2km_high_conc_student_median,lower_concentration_student_mean,lower_concentration_student_median,not_near_high_conc_student_mean,not_near_high_conc_student_median
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,6.96534046584197e-05,0.0,4.165515234522068e-05,0.0,2.196068780724412e-05,0.0,5.036754959567804e-05,0.0
2020-04-02,9.73423576655764e-05,0.0,0.0001972540541996251,0.0,0.0001137171883059997,0.0,0.00019924364370540887,0.0
2020-04-09,0.0002899117448358392,0.000140858296553667,0.00020546967128778857,0.0,0.00012920797546168744,0.0,0.00016344555027999325,0.0
2020-04-16,0.00011320771335821979,0.0,0.0004171215234956938,0.00041425020712510354,0.00013778079430254832,0.0,0.00020292021355914938,0.0
2020-04-23,5.617653346055988e-05,0.0,0.00024442875515373743,0.0,0.0002370807171595878,0.0,0.0002850641758423396,0.0
2020-04-30,0.00019118634104202024,7.91598501240171e-05,0.0003411834585011675,0.0,0.00026559468957434046,0.0,0.00039048717280697046,0.0003867543310647725
2020-05-07,0.0002699702617076389,0.0001055464668320228,0.0001971362368231206,0.0,0.00013448937212722376,0.0,0.0001526234724309003,0.0
2020-05-14,4.017139796464917e-05,0.0,4.813825306279635e-05,0.0,0.00017687031042200226,0.0,0.0001693234384150809,0.0
2020-05-21,7.490204461407983e-05,0.0,2.1402124517560443e-05,0.0,9.768152167650634e-05,0.0,8.253740700384087e-05,0.0
2020-05-28,0.00017407605784681307,0.0,0.0,0.0,0.0001555217654120469,0.0,0.00013090279384611145,0.0
2020-06-04,5.049145011444729e-05,0.0,0.0,0.0,0.00010347207515724797,0.0,7.760405636793598e-05,0.0
2020-06-11,5.049145011444729e-05,0.0,0.0,0.0,1.6368152485708556e-05,0.0,2.5352112062905824e-05,0.0
2020-06-18,0.0,0.0,0.0,0.0,1.125973967481872e-05,0.0,8.444804756114038e-06,0.0
2020-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-23,4.160656829024742e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-30,6.095578673602081e-05,0.0,0.0,0.0,1.125973967481872e-05,0.0,8.444804756114038e-06,0.0
2020-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-13,9.57308971917514e-05,0.0,3.610368979709726e-05,0.0,1.827485380116959e-05,0.0,1.3706140350877193e-05,0.0
2020-08-20,8.339861108529924e-05,0.0,9.493589071804752e-05,0.0,2.6951738296414798e-05,0.0,3.376063511844754e-05,0.0
2020-08-27,5.996136049565345e-05,0.0,0.0,0.0,6.775842811521701e-05,0.0,5.0818821086412756e-05,0.0
2020-09-03,0.00014202055922486924,0.0,0.00012664895921299342,0.0,0.00013320544570206302,0.0,7.097408720213069e-05,0.0
2020-09-10,3.2983270885007126e-05,0.0,0.0,0.0,7.161327263498159e-05,0.0,0.00011121131001726487,0.0
2020-09-17,0.0,0.0,3.196896878763014e-05,0.0,7.411222312991297e-05,0.0,6.254136665728056e-05,0.0
2020-09-24,0.00023145532454903536,0.0003271118650195864,0.000187233221458056,0.0,8.120098288060061e-05,0.0,0.00014650598424602413,0.0
2020-10-01,0.000810798304303107,0.0007132209525073707,0.00040433239736716503,0.00036032789838753263,0.00010641885795908038,0.0,0.00020021112677997727,0.0
2020-10-08,0.0031209695038034967,0.0021870873905230678,0.0008257787768924579,0.0007680491551459293,0.0006322225940799676,0.0005939653124257543,0.0007113539763116323,0.0007029188644185431
2020-10-15,0.005892953093315458,0.0042704573862468835,0.0018074078535643295,0.0019927323877622785,0.001001239693056104,0.0009440323668240054,0.0012379354105400181,0.0010528972526547653
2020-10-22,0.005881810741002813,0.0057410574394901395,0.003219762295615143,0.0027138405869936676,0.0021000272741931282,0.0019215210355987054,0.0024247937651759913,0.0022987108205088013
2020-10-29,0.005583684997590868,0.005708722077605533,0.004100390500274618,0.004065729290191428,0.0029957948234562914,0.002938151902453357,0.003401208874024051,0.0030911490539293875
2020-11-05,0.00484103047857469,0.005006833737134836,0.0038284535048423605,0.003706372902295892,0.0037052433082977072,0.003497566909975669,0.00420684151101021,0.003884135925575032
