,MSOA Code,All Ages,geography code,num_students,student_prop
106,E02002591,6451,E02002591,303,0.04696946209889939
107,E02002592,6344,E02002592,259,0.04082597730138714
108,E02002593,4959,E02002593,260,0.0524299253881831
109,E02002594,5302,E02002594,251,0.04734062617880045
110,E02002595,8322,E02002595,407,0.04890651285748618
111,E02002596,8013,E02002596,739,0.09222513415699489
112,E02002597,9280,E02002597,428,0.046120689655172416
113,E02002598,10272,E02002598,413,0.04020638629283489
114,E02002599,11165,E02002599,599,0.053649798477384686
115,E02002600,8949,E02002600,413,0.04615040786680076
116,E02002601,8754,E02002601,377,0.04306602695910441
117,E02002602,8339,E02002602,344,0.04125194867490107
118,E02002603,6912,E02002603,348,0.050347222222222224
119,E02002604,7377,E02002604,332,0.04500474447607428
120,E02002605,9035,E02002605,431,0.047703375760929714
121,E02002606,11981,E02002606,439,0.03664134880227026
122,E02002607,11621,E02002607,397,0.034162292401686604
123,E02002608,8236,E02002608,379,0.04601748421563866
124,E02002609,9700,E02002609,352,0.03628865979381443
125,E02002610,12709,E02002610,583,0.04587300338342907
126,E02002611,7782,E02002611,336,0.04317656129529684
127,E02002612,9130,E02002612,404,0.04424972617743702
128,E02002613,6455,E02002613,322,0.049883810999225404
129,E02002614,5616,E02002614,350,0.062321937321937325
130,E02002615,10277,E02002615,507,0.04933346307288119
131,E02002616,8891,E02002616,560,0.06298504105274998
132,E02002617,9261,E02002617,745,0.08044487636324371
133,E02002618,7490,E02002618,667,0.0890520694259012
134,E02002619,8997,E02002619,601,0.0668000444592642
135,E02002620,8904,E02002620,611,0.0686208445642408
136,E02002621,8614,E02002621,732,0.08497794288367773
137,E02002622,10714,E02002622,709,0.0661750980026134
138,E02002623,10463,E02002623,528,0.05046353818216573
139,E02002624,8220,E02002624,410,0.049878345498783457
140,E02002625,9735,E02002625,598,0.06142783769902414
141,E02002626,7121,E02002626,378,0.05308243224266255
142,E02002627,7687,E02002627,390,0.05073500715493691
143,E02002628,6676,E02002628,351,0.05257639304973038
144,E02002629,5712,E02002629,295,0.05164565826330532
145,E02002630,6353,E02002630,321,0.05052730993231544
146,E02002631,8408,E02002631,438,0.052093244529019984
147,E02002632,6173,E02002632,299,0.04843674064474324
148,E02002633,7711,E02002633,310,0.040202308390610814
149,E02002634,7954,E02002634,362,0.04551169223032436
150,E02002635,7943,E02002635,394,0.049603424398841744
