areaCode_x,areaCode_y,distance
E02000001,E02000174,4.866386907027771
E02000001,E02000180,4.2945327202844625
E02000001,E02000184,4.153019604876883
E02000001,E02000186,4.214050238901323
E02000001,E02000187,3.354041298913846
E02000001,E02000188,3.5976838345846756
E02000001,E02000189,2.3484332461004906
E02000001,E02000190,2.602804558878532
E02000001,E02000191,3.0624150815586395
E02000001,E02000192,1.653192530188894
E02000001,E02000193,2.1294963768943607
E02000001,E02000356,4.612071852377917
E02000001,E02000358,4.472487130893309
E02000001,E02000360,4.41815936364686
E02000001,E02000361,4.496236413157863
E02000001,E02000363,4.784953116011055
E02000001,E02000364,3.737753976572419
E02000001,E02000365,3.382934530098602
E02000001,E02000366,4.388867868567253
E02000001,E02000367,3.6128158211965005
E02000001,E02000368,2.8577885228638578
E02000001,E02000369,2.520097246816345
E02000001,E02000370,1.9730754970387794
E02000001,E02000371,1.605678171758833
E02000001,E02000562,4.398720350516466
E02000001,E02000563,4.9664999974238375
E02000001,E02000564,4.51633684843604
E02000001,E02000565,4.018575405492766
E02000001,E02000566,3.9454761714899953
E02000001,E02000567,3.491712937867348
E02000001,E02000568,3.9275444540589017
E02000001,E02000569,3.2134070819885405
E02000001,E02000570,3.1393765063354158
E02000001,E02000571,2.588729271318475
E02000001,E02000572,3.0914978738411913
E02000001,E02000573,2.319902506047442
E02000001,E02000574,2.40893651194373
E02000001,E02000575,1.4154670463605679
E02000001,E02000576,1.1306776373632825
E02000001,E02000619,2.867509746607854
E02000001,E02000620,3.3888862564969076
E02000001,E02000621,4.24663674096072
E02000001,E02000622,4.065397146419588
E02000001,E02000623,4.735937716215528
E02000001,E02000624,4.697598634210903
E02000001,E02000626,4.977218774105852
E02000001,E02000653,4.5832075040024804
E02000001,E02000655,4.913450476320445
E02000001,E02000807,3.6490747571285467
E02000001,E02000808,1.2450117798526468
E02000001,E02000809,1.7303371857437932
E02000001,E02000810,2.5096322072580186
E02000001,E02000812,1.9341711823175325
E02000001,E02000813,3.442109315634527
E02000001,E02000814,4.172797671128949
E02000001,E02000815,2.104534570303437
E02000001,E02000816,3.2855284524969126
E02000001,E02000817,3.620194924775037
E02000001,E02000818,2.7191918636982346
E02000001,E02000819,2.9772600703232452
E02000001,E02000820,3.131339983757367
E02000001,E02000821,3.3172407599860514
E02000001,E02000822,3.2720017127069982
E02000001,E02000823,3.6373409964413534
E02000001,E02000824,4.144362903230551
E02000001,E02000825,4.145610219424447
E02000001,E02000826,4.188556360275434
E02000001,E02000827,4.325691541170774
E02000001,E02000828,4.785313496837004
E02000001,E02000865,3.2845072183942934
E02000001,E02000866,4.128860202453874
E02000001,E02000868,2.7184623793662253
E02000001,E02000869,2.153200865280874
E02000001,E02000870,3.3382457107037347
E02000001,E02000872,1.8777110878137726
E02000001,E02000873,3.623021907299967
E02000001,E02000874,2.9232966833617144
E02000001,E02000875,4.8904300744208
E02000001,E02000876,2.4002092909809876
E02000001,E02000877,4.2938284588465985
E02000001,E02000878,1.4707604299530934
E02000001,E02000879,3.0236636390576432
E02000001,E02000880,2.415775943060989
E02000001,E02000882,3.628715848719147
E02000001,E02000884,1.7381419329851069
E02000001,E02000885,2.539294648331731
E02000001,E02000886,4.18925438317983
E02000001,E02000887,4.937821848425134
E02000001,E02000888,3.1081659673718063
E02000001,E02000889,2.0856755779232716
E02000001,E02000890,2.1189873802164687
E02000001,E02000967,4.796873872152321
E02000001,E02000970,4.16757842156668
E02000001,E02000971,4.950946929740105
E02000001,E02000972,3.318381248713586
E02000001,E02000977,2.9199275288267477
E02000001,E02000979,3.515615956883031
E02000001,E02000980,3.7330642224574757
